transaction_id,user_id,user_name,merchant_id,merchant_name,amount,time,location,device_type,transaction_type,is_fraud,unauthorized_app,unusual_activity,failed_attempts,transaction_time_flag,high_risk_merchant,is_risky_merchant
901320,10227,User2,54087,Ellipsis,7319.214070225627,2024-01-20 07:17:32.665413,Kolkata,iOS,Merchant,0,0,0,2,0,0,0
519574,10083,Ellipsis,89891,MerchantB,6726.168717882998,2024-04-07 10:47:56.660044,Chennai,Android,Merchant,0,0,0,0,0,0,0
628615,10315,User1000,57683,Merchant500,719.8381240675562,2024-07-06 13:18:42.805733,Mumbai,iOS,P2P,0,0,0,0,0,0,0
920429,10381,User1,45055,Merchant500,7170.1495422637145,2024-03-01 13:16:05.153024,Bangalore,Android,P2P,0,0,0,2,0,0,0
858573,10438,Ellipsis,53419,Merchant500,7057.525958979095,2024-03-15 13:55:26.434623,Bangalore,iOS,P2P,0,0,0,2,0,0,0
927463,10266,User2,94277,Ellipsis,9568.448376387507,2024-07-06 15:26:16.031464,Bangalore,iOS,P2P,0,0,0,0,0,0,0
458561,10847,Ellipsis,29843,MerchantB,4865.167817794785,2024-03-11 13:21:34.383044,Kolkata,iOS,Merchant,0,0,0,1,0,0,0
951402,10222,User2,42355,Merchant500,6830.03370280084,2024-01-16 20:28:08.006908,Bangalore,iOS,Merchant,1,0,0,2,0,0,1
672542,10025,User2,88862,Merchant500,1561.5766427679741,2024-03-05 02:59:18.607832,Bangalore,iOS,P2P,0,0,0,0,0,0,0
137923,10054,User2,32848,Merchant500,8941.7185102816,2024-04-26 18:04:36.202443,Kolkata,Android,P2P,0,0,0,2,0,0,0
595629,10571,User1000,41829,MerchantB,7808.40956757778,2024-05-12 21:57:50.438526,Chennai,iOS,Merchant,0,0,0,1,0,0,0
268258,10167,User1000,45114,MerchantA,8432.554736229087,2024-05-31 13:26:41.913910,Mumbai,Android,Merchant,0,0,0,0,0,0,0
508517,10819,User1000,63608,Ellipsis,13.787690524140727,2024-04-05 19:51:15.606733,Delhi,Android,P2P,0,0,0,0,0,0,0
363160,10426,User2,51765,MerchantB,6424.513368099591,2024-02-22 23:53:25.360686,Bangalore,iOS,Merchant,0,0,0,0,0,0,0
307315,10189,User1000,31135,Ellipsis,67.48681186017271,2024-03-06 14:30:44.556792,Chennai,Android,P2P,0,0,0,1,0,0,0
991227,10675,User1000,19291,MerchantB,60.669878940688,2024-02-29 22:48:11.098747,Delhi,Android,Merchant,0,0,0,2,0,0,0
266981,10845,User2,81080,Merchant500,914.1798458674829,2024-03-11 09:04:14.501435,Mumbai,iOS,Merchant,0,0,0,1,0,0,0
914233,10896,User1,81687,MerchantB,9971.216561179443,2024-07-31 10:01:19.806841,Delhi,iOS,P2P,0,0,0,1,0,0,0
189735,10824,User2,91308,Ellipsis,7262.016443158581,2024-04-02 01:23:59.667339,Chennai,Android,P2P,0,0,0,0,0,0,0
828101,10427,User1,33806,Ellipsis,7357.436541987347,2024-02-13 04:47:08.477248,Kolkata,iOS,Merchant,0,0,0,0,0,0,0
311172,10687,User2,97477,Ellipsis,7615.596347376381,2024-05-14 15:22:32.257550,Chennai,iOS,Merchant,0,0,0,1,0,0,0
